INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 10 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 1100/1125]  train_loss=2.315  val_loss=19.97
INFO:Train: [1: 1125/1125]  train_loss=1.311  val_loss=7.584
INFO:Train: [1: 1125/1125]  train_loss=5.22e+04  val_loss=7.584
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_1epochs.pth
INFO:Train: [2: 25/1125]  train_loss=3.24  val_loss=1071
INFO:Train: [2: 50/1125]  train_loss=1.229  val_loss=46.55
INFO:Train: [2: 75/1125]  train_loss=4.869  val_loss=7.131
INFO:Train: [2: 100/1125]  train_loss=4.152  val_loss=22.57
INFO:Train: [2: 125/1125]  train_loss=10.41  val_loss=22.31
INFO:Train: [2: 150/1125]  train_loss=9.075  val_loss=25.6
INFO:Train: [2: 175/1125]  train_loss=2.017  val_loss=8.526
INFO:Train: [2: 200/1125]  train_loss=2.76  val_loss=9717
INFO:Train: [2: 225/1125]  train_loss=5.376  val_loss=35.45
INFO:Train: [2: 250/1125]  train_loss=5.45  val_loss=5.247
INFO:Train: [2: 275/1125]  train_loss=1.846  val_loss=23.82
INFO:Train: [2: 300/1125]  train_loss=4.872  val_loss=183.7
INFO:Train: [2: 325/1125]  train_loss=3.032  val_loss=14.04
INFO:Train: [2: 350/1125]  train_loss=3.832  val_loss=20.62
INFO:Train: [2: 375/1125]  train_loss=17.73  val_loss=23.59
INFO:Train: [2: 400/1125]  train_loss=1.866  val_loss=2130
INFO:Train: [2: 425/1125]  train_loss=9.254  val_loss=14.4
INFO:Train: [2: 450/1125]  train_loss=4.116  val_loss=1.48e+04
INFO:Train: [2: 475/1125]  train_loss=20.13  val_loss=20.84
INFO:Train: [2: 500/1125]  train_loss=5.25  val_loss=15.67
INFO:Train: [2: 525/1125]  train_loss=2.211  val_loss=10.15
INFO:Train: [2: 550/1125]  train_loss=226.6  val_loss=296.4
INFO:Train: [2: 575/1125]  train_loss=4.395  val_loss=34.62
INFO:Train: [2: 600/1125]  train_loss=3.142  val_loss=17.64
INFO:Train: [2: 625/1125]  train_loss=92.01  val_loss=34.12
INFO:Train: [2: 650/1125]  train_loss=1.53  val_loss=48.09
INFO:Train: [2: 675/1125]  train_loss=2.793  val_loss=3.072e+05
INFO:Train: [2: 700/1125]  train_loss=30.52  val_loss=139
INFO:Train: [2: 725/1125]  train_loss=6.595  val_loss=491.1
INFO:Train: [2: 750/1125]  train_loss=79.05  val_loss=32.64
INFO:Train: [2: 775/1125]  train_loss=4.621  val_loss=17.54
INFO:Train: [2: 800/1125]  train_loss=2.821  val_loss=17.72
INFO:Train: [2: 825/1125]  train_loss=2.751  val_loss=15.04
INFO:Train: [2: 850/1125]  train_loss=3.087  val_loss=4.948
INFO:Train: [2: 875/1125]  train_loss=4.089  val_loss=1646
INFO:Train: [2: 900/1125]  train_loss=2.283  val_loss=5.122
INFO:Train: [2: 925/1125]  train_loss=3.85  val_loss=6.134
INFO:Train: [2: 950/1125]  train_loss=1.637  val_loss=6.195
INFO:Train: [2: 975/1125]  train_loss=3.097  val_loss=7.054
INFO:Train: [2: 1000/1125]  train_loss=6.153  val_loss=28.45
INFO:Train: [2: 1025/1125]  train_loss=2.275  val_loss=5.946
INFO:Train: [2: 1050/1125]  train_loss=1.85  val_loss=14.57
INFO:Train: [2: 1075/1125]  train_loss=1.309  val_loss=14.17
INFO:Train: [2: 1100/1125]  train_loss=2.51  val_loss=10.56
INFO:Train: [2: 1125/1125]  train_loss=1.923  val_loss=10.44
INFO:Train: [2: 1125/1125]  train_loss=1.526e+04  val_loss=10.44
INFO:Train: [3: 25/1125]  train_loss=2.586  val_loss=6.6
INFO:Train: [3: 50/1125]  train_loss=1.59  val_loss=13.51
INFO:Train: [3: 75/1125]  train_loss=1.846  val_loss=16.85
INFO:Train: [3: 100/1125]  train_loss=1.952  val_loss=17.06
INFO:Train: [3: 125/1125]  train_loss=3.462  val_loss=4.969
INFO:Train: [3: 150/1125]  train_loss=8.011  val_loss=216.5
INFO:Train: [3: 175/1125]  train_loss=4.425  val_loss=66.47
INFO:Train: [3: 200/1125]  train_loss=1.904  val_loss=42.43
INFO:Train: [3: 225/1125]  train_loss=4.461  val_loss=31.52
INFO:Train: [3: 250/1125]  train_loss=2.775  val_loss=22.7
INFO:Train: [3: 275/1125]  train_loss=3.296  val_loss=8.56
INFO:Train: [3: 300/1125]  train_loss=10.65  val_loss=35.26
INFO:Train: [3: 325/1125]  train_loss=1.933  val_loss=38.8
INFO:Train: [3: 350/1125]  train_loss=1.621  val_loss=5.861
INFO:Train: [3: 375/1125]  train_loss=5.382  val_loss=27.65
INFO:Train: [3: 400/1125]  train_loss=2.88  val_loss=3.774
INFO:Train: [3: 425/1125]  train_loss=1.911  val_loss=13.66
INFO:Train: [3: 450/1125]  train_loss=9.918  val_loss=198
INFO:Train: [3: 475/1125]  train_loss=2.357  val_loss=1386
INFO:Train: [3: 500/1125]  train_loss=3.962  val_loss=25.67
INFO:Train: [3: 525/1125]  train_loss=5.536  val_loss=119.1
INFO:Train: [3: 550/1125]  train_loss=1.74  val_loss=10.58
INFO:Train: [3: 575/1125]  train_loss=2.917  val_loss=12.02
INFO:Train: [3: 600/1125]  train_loss=1.721  val_loss=18.03
INFO:Train: [3: 625/1125]  train_loss=6.054  val_loss=18.36
INFO:Train: [3: 650/1125]  train_loss=4.229  val_loss=17.43
INFO:Train: [3: 675/1125]  train_loss=3.262  val_loss=8.681
INFO:Train: [3: 700/1125]  train_loss=4.791  val_loss=14.62
INFO:Train: [3: 725/1125]  train_loss=5.172  val_loss=6.377
INFO:Train: [3: 750/1125]  train_loss=1.409  val_loss=7.839
INFO:Train: [3: 775/1125]  train_loss=4.797  val_loss=8.975
INFO:Train: [3: 800/1125]  train_loss=4.363  val_loss=22.17
INFO:Train: [3: 825/1125]  train_loss=5.427  val_loss=15.09
INFO:Train: [3: 850/1125]  train_loss=3.214  val_loss=5.501
INFO:Train: [3: 875/1125]  train_loss=2.088  val_loss=74.5
INFO:Train: [3: 900/1125]  train_loss=3.792  val_loss=4.215
INFO:Train: [3: 925/1125]  train_loss=6.382  val_loss=36.59
INFO:Train: [3: 950/1125]  train_loss=2.382  val_loss=12.79
INFO:Train: [3: 975/1125]  train_loss=5.44  val_loss=7.322
INFO:Train: [3: 1000/1125]  train_loss=5.246  val_loss=22.85
INFO:Train: [3: 1025/1125]  train_loss=3.259  val_loss=19.56
INFO:Train: [3: 1050/1125]  train_loss=3.806  val_loss=8.253
INFO:Train: [3: 1075/1125]  train_loss=2.171  val_loss=24.54
INFO:Train: [3: 1100/1125]  train_loss=3.757  val_loss=11.86
INFO:Train: [3: 1125/1125]  train_loss=3.041  val_loss=9.093
INFO:Train: [3: 1125/1125]  train_loss=1.509e+05  val_loss=9.093
INFO:Train: [4: 25/1125]  train_loss=1.27  val_loss=4.427
INFO:Train: [4: 50/1125]  train_loss=2.424  val_loss=3.476
INFO:Train: [4: 75/1125]  train_loss=5.313  val_loss=18.07
INFO:Train: [4: 100/1125]  train_loss=4.516  val_loss=8.996
INFO:Train: [4: 125/1125]  train_loss=1.994  val_loss=11.1
INFO:Train: [4: 150/1125]  train_loss=1.861  val_loss=7.088
INFO:Train: [4: 175/1125]  train_loss=2.638  val_loss=9.053
INFO:Train: [4: 200/1125]  train_loss=3.037  val_loss=17.5
INFO:Train: [4: 225/1125]  train_loss=125.4  val_loss=3.479
INFO:Train: [4: 250/1125]  train_loss=3.752  val_loss=12.68
INFO:Train: [4: 275/1125]  train_loss=2.081  val_loss=489.2
INFO:Train: [4: 300/1125]  train_loss=2.087  val_loss=11.37
INFO:Train: [4: 325/1125]  train_loss=65.49  val_loss=9.384
INFO:Train: [4: 350/1125]  train_loss=1.68  val_loss=11.14
INFO:Train: [4: 375/1125]  train_loss=2.381  val_loss=3.801
INFO:Train: [4: 400/1125]  train_loss=0.9808  val_loss=3.528
INFO:Train: [4: 425/1125]  train_loss=1.642  val_loss=1.813
INFO:Train: [4: 450/1125]  train_loss=2.579  val_loss=3.483
INFO:Train: [4: 475/1125]  train_loss=5.188  val_loss=5.042
INFO:Train: [4: 500/1125]  train_loss=1.035  val_loss=21.65
INFO:Train: [4: 525/1125]  train_loss=4.235  val_loss=1.832
INFO:Train: [4: 550/1125]  train_loss=4.82  val_loss=28.61
INFO:Train: [4: 575/1125]  train_loss=3.442  val_loss=7.449
INFO:Train: [4: 600/1125]  train_loss=3.845  val_loss=3.851
INFO:Train: [4: 625/1125]  train_loss=2.367  val_loss=5.22
INFO:Train: [4: 650/1125]  train_loss=6.839  val_loss=5.207
INFO:Train: [4: 675/1125]  train_loss=3.561  val_loss=3.119
INFO:Train: [4: 700/1125]  train_loss=1.903  val_loss=13.4
INFO:Train: [4: 725/1125]  train_loss=2.563  val_loss=5.646
INFO:Train: [4: 750/1125]  train_loss=29.66  val_loss=30.68
INFO:Train: [4: 775/1125]  train_loss=1.456  val_loss=10.54
INFO:Train: [4: 800/1125]  train_loss=2.325  val_loss=11.02
INFO:Train: [4: 825/1125]  train_loss=4.299  val_loss=11.97
INFO:Train: [4: 850/1125]  train_loss=1.138  val_loss=9.787
INFO:Train: [4: 875/1125]  train_loss=2.657  val_loss=16.02
INFO:Train: [4: 900/1125]  train_loss=3.182  val_loss=7.565
INFO:Train: [4: 925/1125]  train_loss=2.022  val_loss=9.975
INFO:Train: [4: 950/1125]  train_loss=4.107  val_loss=2.523
INFO:Train: [4: 975/1125]  train_loss=3.669  val_loss=4.336
INFO:Train: [4: 1000/1125]  train_loss=3.338  val_loss=7.017
INFO:Train: [4: 1025/1125]  train_loss=2.49  val_loss=25.54
INFO:Train: [4: 1050/1125]  train_loss=9.093  val_loss=11.4
INFO:Train: [4: 1075/1125]  train_loss=3.376  val_loss=7.816
INFO:Train: [4: 1100/1125]  train_loss=2.801  val_loss=17.67
INFO:Train: [4: 1125/1125]  train_loss=1.952  val_loss=108.5
INFO:Train: [4: 1125/1125]  train_loss=4371  val_loss=108.5
INFO:Train: [5: 25/1125]  train_loss=1.799  val_loss=4.803
INFO:Train: [5: 50/1125]  train_loss=3.131  val_loss=8.481
INFO:Train: [5: 75/1125]  train_loss=2.943  val_loss=9.985
INFO:Train: [5: 100/1125]  train_loss=3  val_loss=6.028
INFO:Train: [5: 125/1125]  train_loss=1.299  val_loss=6.478
INFO:Train: [5: 150/1125]  train_loss=1.648  val_loss=5.243
INFO:Train: [5: 175/1125]  train_loss=1.528  val_loss=15.44
INFO:Train: [5: 200/1125]  train_loss=2.521  val_loss=4.222
INFO:Train: [5: 225/1125]  train_loss=2.251  val_loss=3.082
INFO:Train: [5: 250/1125]  train_loss=2.712  val_loss=529
INFO:Train: [5: 275/1125]  train_loss=2.524  val_loss=7.924
INFO:Train: [5: 300/1125]  train_loss=1.673  val_loss=2e+04
INFO:Train: [5: 325/1125]  train_loss=3.047  val_loss=5.642
INFO:Train: [5: 350/1125]  train_loss=1.053  val_loss=105.6
INFO:Train: [5: 375/1125]  train_loss=1.927  val_loss=8.814
INFO:Train: [5: 400/1125]  train_loss=1.82  val_loss=47.54
INFO:Train: [5: 425/1125]  train_loss=2.143  val_loss=7.398
INFO:Train: [5: 450/1125]  train_loss=5.24  val_loss=7.115
INFO:Train: [5: 475/1125]  train_loss=2.167  val_loss=4.018e+04
INFO:Train: [5: 500/1125]  train_loss=1.677  val_loss=8.923
INFO:Train: [5: 525/1125]  train_loss=2.428  val_loss=4.004
INFO:Train: [5: 550/1125]  train_loss=4.684  val_loss=21.35
INFO:Train: [5: 575/1125]  train_loss=2.253  val_loss=5.302
INFO:Train: [5: 600/1125]  train_loss=1.931  val_loss=86.51
INFO:Train: [5: 625/1125]  train_loss=2.963  val_loss=10.49
INFO:Train: [5: 650/1125]  train_loss=2.779  val_loss=5.915
INFO:Train: [5: 675/1125]  train_loss=3.454  val_loss=6.807
INFO:Train: [5: 700/1125]  train_loss=3.999  val_loss=3.398
INFO:Train: [5: 725/1125]  train_loss=2.597  val_loss=324.2
INFO:Train: [5: 750/1125]  train_loss=2.305  val_loss=8.707
INFO:Train: [5: 775/1125]  train_loss=1.508  val_loss=2.244
INFO:Train: [5: 800/1125]  train_loss=3.271  val_loss=7.012
INFO:Train: [5: 825/1125]  train_loss=2.166  val_loss=9.537
INFO:Train: [5: 850/1125]  train_loss=2.103  val_loss=7.294
INFO:Train: [5: 875/1125]  train_loss=2.164  val_loss=2.791
INFO:Train: [5: 900/1125]  train_loss=2.352  val_loss=14.67
INFO:Train: [5: 925/1125]  train_loss=2.247  val_loss=7.441
INFO:Train: [5: 950/1125]  train_loss=1.869  val_loss=6.399
INFO:Train: [5: 975/1125]  train_loss=3.62  val_loss=3.664
INFO:Train: [5: 1000/1125]  train_loss=1.87  val_loss=10.69
INFO:Train: [5: 1025/1125]  train_loss=1.472  val_loss=5.034
INFO:Train: [5: 1050/1125]  train_loss=3.191  val_loss=5.751
INFO:Train: [5: 1075/1125]  train_loss=2.577  val_loss=6.46
INFO:Train: [5: 1100/1125]  train_loss=2.713  val_loss=5.206
INFO:Train: [5: 1125/1125]  train_loss=1.909  val_loss=15.36
INFO:Train: [5: 1125/1125]  train_loss=5.464e+04  val_loss=15.36
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_5epochs.pth
INFO:Train: [6: 25/1125]  train_loss=1.301  val_loss=3.824
INFO:Train: [6: 50/1125]  train_loss=2.065  val_loss=9.591
INFO:Train: [6: 75/1125]  train_loss=1.308  val_loss=3.259
INFO:Train: [6: 100/1125]  train_loss=7.319  val_loss=8.961
INFO:Train: [6: 125/1125]  train_loss=4.626  val_loss=4.458
INFO:Train: [6: 150/1125]  train_loss=2.195  val_loss=5.49
INFO:Train: [6: 175/1125]  train_loss=1.717  val_loss=7.271
INFO:Train: [6: 200/1125]  train_loss=4.252  val_loss=44.08
INFO:Train: [6: 225/1125]  train_loss=3.063  val_loss=7.978
INFO:Train: [6: 250/1125]  train_loss=5.988  val_loss=7.81
INFO:Train: [6: 275/1125]  train_loss=3.313  val_loss=5.965
INFO:Train: [6: 300/1125]  train_loss=1.995  val_loss=3.647
INFO:Train: [6: 325/1125]  train_loss=2.884  val_loss=2.715
INFO:Train: [6: 350/1125]  train_loss=32.73  val_loss=5.969
INFO:Train: [6: 375/1125]  train_loss=1.634  val_loss=9.603
INFO:Train: [6: 400/1125]  train_loss=1.855  val_loss=3.364
INFO:Train: [6: 425/1125]  train_loss=1.191  val_loss=4.603
INFO:Train: [6: 450/1125]  train_loss=1.811  val_loss=5.006
INFO:Train: [6: 475/1125]  train_loss=1.98  val_loss=3.361
INFO:Train: [6: 500/1125]  train_loss=3.543  val_loss=10.55
INFO:Train: [6: 525/1125]  train_loss=1.975  val_loss=8.11
INFO:Train: [6: 550/1125]  train_loss=67.82  val_loss=3.374
INFO:Train: [6: 575/1125]  train_loss=2.4  val_loss=11.17
INFO:Train: [6: 600/1125]  train_loss=9.34  val_loss=3.269
INFO:Train: [6: 625/1125]  train_loss=33.63  val_loss=4.111
INFO:Train: [6: 650/1125]  train_loss=5.056  val_loss=45.94
INFO:Train: [6: 675/1125]  train_loss=3.825  val_loss=7.357
INFO:Train: [6: 700/1125]  train_loss=2.733  val_loss=13.72
INFO:Train: [6: 725/1125]  train_loss=6.209  val_loss=4.995
INFO:Train: [6: 750/1125]  train_loss=3.853  val_loss=16.17
INFO:Train: [6: 775/1125]  train_loss=6.586  val_loss=5.504
INFO:Train: [6: 800/1125]  train_loss=1.815  val_loss=4.959
INFO:Train: [6: 825/1125]  train_loss=1.259  val_loss=5.695
INFO:Train: [6: 850/1125]  train_loss=2.256  val_loss=3.623
INFO:Train: [6: 875/1125]  train_loss=15.32  val_loss=7.36
INFO:Train: [6: 900/1125]  train_loss=1.997  val_loss=5.658
INFO:Train: [6: 925/1125]  train_loss=1.369  val_loss=611
INFO:Train: [6: 950/1125]  train_loss=2.7  val_loss=4.987
INFO:Train: [6: 975/1125]  train_loss=8.559  val_loss=626.8
INFO:Train: [6: 1000/1125]  train_loss=2.191  val_loss=2.749
INFO:Train: [6: 1025/1125]  train_loss=2.616  val_loss=4.407
INFO:Train: [6: 1050/1125]  train_loss=27.23  val_loss=18.02
INFO:Train: [6: 1075/1125]  train_loss=1.253  val_loss=5.057
INFO:Train: [6: 1100/1125]  train_loss=1.081  val_loss=142.5
INFO:Train: [6: 1125/1125]  train_loss=0.9557  val_loss=3.16
INFO:Train: [6: 1125/1125]  train_loss=3.08e+04  val_loss=3.16
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_6epochs.pth
INFO:Train: [7: 25/1125]  train_loss=1.201  val_loss=8.363
INFO:Train: [7: 50/1125]  train_loss=3.067  val_loss=3.299
INFO:Train: [7: 75/1125]  train_loss=1.669  val_loss=2.986
INFO:Train: [7: 100/1125]  train_loss=1.603  val_loss=7.824
INFO:Train: [7: 125/1125]  train_loss=2.246  val_loss=3.591
INFO:Train: [7: 150/1125]  train_loss=1.593  val_loss=3.979
INFO:Train: [7: 175/1125]  train_loss=1.371  val_loss=3.375
INFO:Train: [7: 200/1125]  train_loss=1.715  val_loss=8.067
INFO:Train: [7: 225/1125]  train_loss=2.145  val_loss=6.135
INFO:Train: [7: 250/1125]  train_loss=1.849  val_loss=19.94
INFO:Train: [7: 275/1125]  train_loss=5.203  val_loss=4.272
INFO:Train: [7: 300/1125]  train_loss=2.287  val_loss=4.593
INFO:Train: [7: 325/1125]  train_loss=4.494  val_loss=8.856
INFO:Train: [7: 350/1125]  train_loss=2.252  val_loss=3.906
INFO:Train: [7: 375/1125]  train_loss=1.205  val_loss=8.338
INFO:Train: [7: 400/1125]  train_loss=1.615  val_loss=13.77
INFO:Train: [7: 425/1125]  train_loss=1.891  val_loss=6.28
INFO:Train: [7: 450/1125]  train_loss=2.188  val_loss=1.657
INFO:Train: [7: 475/1125]  train_loss=1.406  val_loss=3.024
INFO:Train: [7: 500/1125]  train_loss=1.138  val_loss=5.739
INFO:Train: [7: 525/1125]  train_loss=2.449  val_loss=3.957
INFO:Train: [7: 550/1125]  train_loss=2.216  val_loss=2.066
INFO:Train: [7: 575/1125]  train_loss=2.113  val_loss=6.619
INFO:Train: [7: 600/1125]  train_loss=1.343  val_loss=4.943
INFO:Train: [7: 625/1125]  train_loss=1.671  val_loss=6.952
INFO:Train: [7: 650/1125]  train_loss=1.558  val_loss=5.75
INFO:Train: [7: 675/1125]  train_loss=3.808  val_loss=8.763
INFO:Train: [7: 700/1125]  train_loss=22.81  val_loss=4.487
INFO:Train: [7: 725/1125]  train_loss=1.571  val_loss=6.502
INFO:Train: [7: 750/1125]  train_loss=2.43  val_loss=7.849
INFO:Train: [7: 775/1125]  train_loss=1.546  val_loss=2.52
INFO:Train: [7: 800/1125]  train_loss=1.549  val_loss=3.786
INFO:Train: [7: 825/1125]  train_loss=3.445  val_loss=2.8
INFO:Train: [7: 850/1125]  train_loss=2.414  val_loss=8.416
INFO:Train: [7: 875/1125]  train_loss=1.371  val_loss=3.092
INFO:Train: [7: 900/1125]  train_loss=1.419  val_loss=4.204
INFO:Train: [7: 925/1125]  train_loss=1.327  val_loss=4.243
INFO:Train: [7: 950/1125]  train_loss=1.721  val_loss=5.039
INFO:Train: [7: 975/1125]  train_loss=3.288  val_loss=6.752
INFO:Train: [7: 1000/1125]  train_loss=1.172  val_loss=3.995
INFO:Train: [7: 1025/1125]  train_loss=37.51  val_loss=3.315
INFO:Train: [7: 1050/1125]  train_loss=2.422  val_loss=4.771
INFO:Train: [7: 1075/1125]  train_loss=1.646  val_loss=2.146
INFO:Train: [7: 1100/1125]  train_loss=1.773  val_loss=8.464
INFO:Train: [7: 1125/1125]  train_loss=1.391  val_loss=6.438
INFO:Train: [7: 1125/1125]  train_loss=3.4e+04  val_loss=6.438
INFO:Train: [8: 25/1125]  train_loss=1.391  val_loss=2.584
INFO:Train: [8: 50/1125]  train_loss=1.347  val_loss=6.745
INFO:Train: [8: 75/1125]  train_loss=1.795  val_loss=4.621
INFO:Train: [8: 100/1125]  train_loss=0.9938  val_loss=5.867
INFO:Train: [8: 125/1125]  train_loss=1.61  val_loss=4.012
INFO:Train: [8: 150/1125]  train_loss=1.273  val_loss=2.151
INFO:Train: [8: 175/1125]  train_loss=2.457  val_loss=7.038
INFO:Train: [8: 200/1125]  train_loss=2.497  val_loss=4.567
INFO:Train: [8: 225/1125]  train_loss=2.671  val_loss=7.557
INFO:Train: [8: 250/1125]  train_loss=2.233  val_loss=7.075
INFO:Train: [8: 275/1125]  train_loss=1.541  val_loss=4.28
INFO:Train: [8: 300/1125]  train_loss=2.061  val_loss=5.863
INFO:Train: [8: 325/1125]  train_loss=1.974  val_loss=3.485
INFO:Train: [8: 350/1125]  train_loss=1.812  val_loss=6.245
INFO:Train: [8: 375/1125]  train_loss=3.297  val_loss=3.776
INFO:Train: [8: 400/1125]  train_loss=0.773  val_loss=5.389
INFO:Train: [8: 425/1125]  train_loss=1.475  val_loss=3.609
INFO:Train: [8: 450/1125]  train_loss=1.322  val_loss=10.44
INFO:Train: [8: 475/1125]  train_loss=1.644  val_loss=4.469
INFO:Train: [8: 500/1125]  train_loss=2.49  val_loss=7.687
INFO:Train: [8: 525/1125]  train_loss=1.367  val_loss=9.739
INFO:Train: [8: 550/1125]  train_loss=2.028  val_loss=8.775
INFO:Train: [8: 575/1125]  train_loss=1.463  val_loss=5.419
INFO:Train: [8: 600/1125]  train_loss=1.585  val_loss=10.3
INFO:Train: [8: 625/1125]  train_loss=2.074  val_loss=3.444
INFO:Train: [8: 650/1125]  train_loss=1.64  val_loss=6.989
INFO:Train: [8: 675/1125]  train_loss=1.76  val_loss=8.561
INFO:Train: [8: 700/1125]  train_loss=1.823  val_loss=2.993
INFO:Train: [8: 725/1125]  train_loss=1.471  val_loss=3.409
INFO:Train: [8: 750/1125]  train_loss=2.977  val_loss=4.771
INFO:Train: [8: 775/1125]  train_loss=14.34  val_loss=10.23
INFO:Train: [8: 800/1125]  train_loss=1.591  val_loss=10.41
INFO:Train: [8: 825/1125]  train_loss=2.58  val_loss=8.329
INFO:Train: [8: 850/1125]  train_loss=1.434  val_loss=5.447
INFO:Train: [8: 875/1125]  train_loss=1.179  val_loss=6.514
INFO:Train: [8: 900/1125]  train_loss=1.922  val_loss=4.905
INFO:Train: [8: 925/1125]  train_loss=1.925  val_loss=3.255
INFO:Train: [8: 950/1125]  train_loss=1.757  val_loss=6.412
INFO:Train: [8: 975/1125]  train_loss=1.842  val_loss=5.686
INFO:Train: [8: 1000/1125]  train_loss=1.359  val_loss=4.346
INFO:Train: [8: 1025/1125]  train_loss=1.864  val_loss=5.431
INFO:Train: [8: 1050/1125]  train_loss=1.768  val_loss=2.722
INFO:Train: [8: 1075/1125]  train_loss=2.573  val_loss=158
INFO:Train: [8: 1100/1125]  train_loss=2.168  val_loss=6.316
INFO:Train: [8: 1125/1125]  train_loss=2.001  val_loss=7.708
INFO:Train: [8: 1125/1125]  train_loss=8367  val_loss=7.708
INFO:Train: [9: 25/1125]  train_loss=1.74  val_loss=4.309
INFO:Train: [9: 50/1125]  train_loss=4.297  val_loss=2.534
INFO:Train: [9: 75/1125]  train_loss=1.558  val_loss=4.459
INFO:Train: [9: 100/1125]  train_loss=0.8502  val_loss=5.435
INFO:Train: [9: 125/1125]  train_loss=1.76  val_loss=6.574
INFO:Train: [9: 150/1125]  train_loss=1.455  val_loss=4.627
INFO:Train: [9: 175/1125]  train_loss=0.9095  val_loss=6.76
INFO:Train: [9: 200/1125]  train_loss=2.731  val_loss=8.698
